,Tweets,id,len,date,source,likes,retweets
0,Everlane Is Now Making Knee-High Boots (Yay) https://t.co/sW8LpNnKuc,1203734612289175553,68,2019-12-08 17:54:30,SocialFlow,12,1
1,The Best Nintendo Switch Games for Casual Gamers https://t.co/Pet1jr3y6O,1203729489173323781,72,2019-12-08 17:34:09,SocialFlow,11,1
2,The 15 Best Carly Rae Jepsen Songs https://t.co/PShubLPzef,1203724323162349574,58,2019-12-08 17:13:37,SocialFlow,21,7
3,"From @janetmock to @issarae, a wave of female-fronted projects is rising up out of Hollywood, and these 12 women ar… https://t.co/um2brqFdOs",1203718783250182144,140,2019-12-08 16:51:36,SocialFlow,16,2
4,"J.Lo's Green Versace Gown Made a Surprise Appearance on SNL Last Night
https://t.co/1MVXCTz2Cg",1203713501170196485,94,2019-12-08 16:30:37,SocialFlow,22,5
5,"Here's What Gabrielle Union Says About Her Departure from 'America's Got Talent'
https://t.co/thyLm0UFGq",1203708759736012801,104,2019-12-08 16:11:46,SocialFlow,16,4
6,Everything You Need To Know About #StrangerThings Season 4 https://t.co/YPXazK6038,1203703194083299328,82,2019-12-08 15:49:39,SocialFlow,25,3
7,"If You Get One Spa Treatment in Hawaii, Please Make It the Maui Mahulia https://t.co/a325mQasNk",1203697988784312320,95,2019-12-08 15:28:58,SocialFlow,14,3
8,Gordo Will Return in the Lizzie McGuire Reboot #DisneyPlus https://t.co/U8ly0UXXny,1203692943091097600,82,2019-12-08 15:08:55,SocialFlow,52,8
9,The Best Thongs According to https://t.co/JbtHbxOI6t Editors https://t.co/ANV3SSRPuU,1203687784646623232,84,2019-12-08 14:48:25,SocialFlow,16,4
10,9 https://t.co/JbtHbxOI6t Editors Confess What They Bought at Net-A-Porter's Massive Sale https://t.co/OXoeiulpd6,1203682504722518016,113,2019-12-08 14:27:27,SocialFlow,17,4
11,10 Easy Ways to Be More Sustainable at Work and Home https://t.co/ts89eW9rk5,1203677089301516288,76,2019-12-08 14:05:55,SocialFlow,17,6
12,"In our latest Style File,@yunamusic talks about developing her iconic modest style, why making a fashion faux pas i… https://t.co/oihvLRCXcG",1203671674455035904,140,2019-12-08 13:44:24,SocialFlow,14,3
13,Watch Sara Sampaio's 10-Minute Morning Routine https://t.co/2aWbBfzLZw,1203666442316664833,70,2019-12-08 13:23:37,SocialFlow,15,4
14,Gabriela Hearst to Donate 100 Percent of Proceeds to Help Children in Yemen https://t.co/MqGDS69MHv,1203661098093858820,99,2019-12-08 13:02:23,SocialFlow,52,7
15,Guess who's back? A new season of @projectrunway is here with ELLE Editor-in-Chief @ninagarcia. Get to know all 16… https://t.co/2aRT3JRsfn,1203655866676846594,139,2019-12-08 12:41:36,SocialFlow,17,4
16,"14 Best Oil Diffusers to Help You Relax, Finally https://t.co/TMLMrEG9yZ",1203650568318832641,72,2019-12-08 12:20:32,SocialFlow,15,5
17,Model Charlotte McKinney Wakes Up With an 8-Step Skincare Routine https://t.co/8rkjVbKdXH,1203645329247215619,89,2019-12-08 11:59:43,SocialFlow,14,0
18,This Beauty Routine is the Secret to @justineskye's Perfect Skin https://t.co/QnhHqrS4If,1203639890669457408,88,2019-12-08 11:38:07,SocialFlow,14,0
19,Designer Nafsika Skourti's Clothes Are Made to Transcend Borders https://t.co/MTTtgXT4Io,1203634813435043840,88,2019-12-08 11:17:56,SocialFlow,19,0
20,11 Women With Stressful Jobs on the Reality TV Shows That Help Them Unwind https://t.co/xym55pvZFh,1203629506659045376,98,2019-12-08 10:56:51,SocialFlow,16,4
